Distribuicao de chegada,Parametros,Valor medio servico,Duracao da simulacao,Quantidade de Requisicoes recebidas,Quantidade de Requisicoes atendidas,Tempo medio de atendimento,Quantidade media de elementos em espera
uniforme,0.0 2.0 ,1.0,10,7,6,1.312562300276662,0.08333333333333333
uniforme,0.0 2.0 ,1.0,10,7,7,1.48721418700779,0.0
uniforme,0.0 2.0 ,1.0,10,6,6,1.2570459612556073,0.0
uniforme,0.0 2.0 ,1.0,10,6,6,1.4835646573277022,0.0
uniforme,0.0 2.0 ,1.0,10,6,6,1.7872092414293335,0.0
uniforme,0.0 2.0 ,1.0,10,6,5,1.2599324390598212,0.08333333333333333
uniforme,0.0 2.0 ,1.0,10,7,7,1.1881544731719804,0.0
uniforme,0.0 2.0 ,1.0,10,6,6,1.5204833698012632,0.0
uniforme,0.0 2.0 ,1.0,10,6,6,1.2529007092132038,0.0
uniforme,0.0 2.0 ,1.0,10,6,6,1.2191326756596437,0.0
uniforme,0.0 2.0 ,1.0,10,7,7,1.2607948119793053,0.0
uniforme,0.0 2.0 ,1.0,10,7,7,1.3514982606568202,0.0
uniforme,0.0 2.0 ,1.0,10,6,5,1.7286854090265493,0.08333333333333333
uniforme,0.0 2.0 ,1.0,10,7,6,1.266781161393938,0.08333333333333333
uniforme,0.0 2.0 ,1.0,10,6,6,1.21011713217723,0.0
uniforme,0.0 2.0 ,1.0,10,7,7,0.7772765173563057,0.0
uniforme,0.0 2.0 ,1.0,10,7,6,0.6254763639324764,0.08333333333333333
uniforme,0.0 2.0 ,1.0,10,7,6,1.3390127942496395,0.08333333333333333
uniforme,0.0 2.0 ,1.0,10,6,6,0.5622164752004388,0.0
uniforme,0.0 2.0 ,1.0,10,6,6,0.9594858669915053,0.0
uniforme,0.0 2.0 ,1.0,10,7,6,1.3365723467337547,0.08333333333333333
uniforme,0.0 2.0 ,1.0,10,5,5,1.3204481734524904,0.0
uniforme,0.0 2.0 ,1.0,10,6,6,1.8901477734748664,0.0
uniforme,0.0 2.0 ,1.0,10,7,7,1.484003000978781,0.0
uniforme,0.0 2.0 ,1.0,10,5,5,2.2145952369068773,0.0
uniforme,0.0 2.0 ,1.0,10,7,7,1.17643821868595,0.0
uniforme,0.0 2.0 ,1.0,10,6,6,1.2272341912394378,0.0
uniforme,0.0 2.0 ,1.0,10,6,6,0.5757641661372482,0.0
uniforme,0.0 2.0 ,1.0,10,6,6,1.247562504932486,0.0
uniforme,0.0 2.0 ,1.0,10,5,5,0.9699108002628869,0.0
